Ch	FreqNum	GIC_SW	CNTHigh	CNTLow	GAP	CCS_A	CCS_B	GIC1A	GIC1B	GIC2A	GIC2B	GIC3A	GIC3B	GIC4A	GIC4B	OffsetHigh	OffsetLow
23	5	8	0	0	1	125	147	126	162	126	162	126	162	126	162	0	7	
23	6	4	0	0	5	100	82	130	111	130	111	130	111	130	111	0	7	
23	7	4	0	0	10	117	94	127	34	127	34	127	34	127	34	0	6	
23	8	2	0	0	25	139	50	116	40	116	40	116	40	116	40	0	5	
23	9	1	0	0	40	200	68	128	195	128	195	128	195	128	195	0	77	
23	16	0	0	199	1	172	219	128	128	128	128	128	128	128	128	0	8	
23	17	0	0	1	1	107	167	128	128	128	128	128	128	128	128	0	7	
23	18	4	0	0	5	100	82	130	111	130	111	130	111	130	111	0	7	
24	0	8	3	231	1	95	214	128	128	128	128	128	128	128	128	0	9	
24	1	8	0	199	1	123	218	128	128	128	128	128	128	128	128	0	9	
24	2	8	0	99	1	97	218	128	128	128	128	128	128	128	128	0	9	
24	3	8	0	9	1	115	205	128	128	128	128	128	128	128	128	0	9	
24	4	8	0	1	1	182	163	128	128	128	128	128	128	128	128	0	8	
24	5	8	0	0	1	141	145	123	158	123	158	123	158	123	158	0	8	
24	6	4	0	0	5	133	81	124	114	124	114	124	114	124	114	0	7	
24	7	4	0	0	10	95	95	128	36	128	36	128	36	128	36	0	6	
24	8	2	0	0	25	189	52	124	34	124	34	124	34	124	34	0	5	
24	9	1	0	0	40	96	82	128	197	128	197	128	197	128	197	255	220	
24	16	0	0	199	1	123	218	128	128	128	128	128	128	128	128	0	9	
24	17	0	0	1	1	182	163	128	128	128	128	128	128	128	128	0	8	
24	18	4	0	0	5	133	81	124	114	124	114	124	114	124	114	0	7	
25	0	8	3	231	1	98	218	128	128	128	128	128	128	128	128	0	10	
25	1	8	0	199	1	144	222	128	128	128	128	128	128	128	128	0	9	
25	2	8	0	99	1	110	222	128	128	128	128	128	128	128	128	0	10	
25	3	8	0	9	1	98	209	128	128	128	128	128	128	128	128	0	9	
