ProjIndex	Ch	ChIndex	ChInfo	Inj.Freq	Amp1High	AmpLow	Amp2High	Amp2Low	Gain1	AcqGap	AcqCNTHigh	AcqCntLow	TotalDMFreq	DM1	DM2	DM3
10	7	0	0	15	1	146	1	128	232	1	0	9	0	1	5	10	
10	8	0	0	15	1	130	1	119	232	1	0	9	0	1	5	10	
10	9	0	0	15	1	136	1	124	232	1	0	9	0	1	5	10	
10	10	0	0	15	1	129	1	108	232	1	0	9	0	1	5	10	
10	11	0	0	15	1	132	1	116	232	1	0	9	0	1	5	10	
10	12	0	0	15	1	141	1	122	232	1	0	9	0	1	5	10	
10	13	0	0	15	1	134	1	122	232	1	0	9	0	1	5	10	
10	14	0	0	15	1	137	1	125	232	1	0	9	0	1	5	10	
10	15	0	0	15	1	125	1	121	232	1	0	9	0	1	5	10	
10	16	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	17	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	18	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	19	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	20	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	21	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	22	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	23	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	24	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	25	0	3	3	1	128	1	128	1	1	0	9	0	1	5	10	
10	26	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	27	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	28	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	29	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	30	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	31	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	0	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	1	0	0	15	1	140	1	138	232	1	0	9	0	1	5	10	
11	2	0	0	15	1	115	1	125	232	1	0	9	0	1	5	10	
11	3	0	2	3	1	139	1	129	1	1	0	9	0	1	5	10	
11	4	0	0	15	1	135	1	130	232	1	0	9	0	1	5	10	
11	5	0	0	15	1	141	1	130	232	1	0	9	0	1	5	10	
11	6	0	0	15	1	134	1	126	232	1	0	9	0	1	5	10	
11	7	0	0	15	1	146	1	128	232	1	0	9	0	1	5	10	
11	8	0	0	15	1	130	1	119	232	1	0	9	0	1	5	10	
11	9	0	0	15	1	136	1	124	232	1	0	9	0	1	5	10	
11	10	0	0	15	1	129	1	108	232	1	0	9	0	1	5	10	
11	11	0	0	15	1	132	1	116	232	1	0	9	0	1	5	10	
11	12	0	0	15	1	141	1	122	232	1	0	9	0	1	5	10	
11	13	0	0	15	1	134	1	122	232	1	0	9	0	1	5	10	
11	14	0	0	15	1	137	1	125	232	1	0	9	0	1	5	10	
11	15	0	0	15	1	125	1	121	232	1	0	9	0	1	5	10	
11	16	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	17	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	18	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	19	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	20	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	21	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	22	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	23	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	24	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	25	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	26	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	27	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	28	0	3	3	1	128	1	128	1	1	0	9	0	1	5	10	
11	29	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	30	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
11	31	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
12	0	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
12	1	0	2	3	1	140	1	138	1	1	0	9	0	1	5	10	
12	2	0	0	15	1	115	1	125	232	1	0	9	0	1	5	10	
